Берово-беровско_41.29,22.43|42.13,23.27
Битола-битолско_40.612799,20.92029|41.452799,21.76029
Богданци-богданско_40.7830556,22.1555556|41.6230556,22.9955556
Валандово-валандовско_40.8969444,22.1411111|41.7369444,22.9811111
Велес-велешко_41.31,21.36|42.15,22.2
Виница-виничко_41.4665,22.08782|42.3065,22.92782
Гевгелија-гевгелиско_40.73,22.09|41.57,22.93
Гостивар-гостиварско_41.380911,20.494169|42.220911,21.334169
Дебар-дебарско_41.1,20.11|41.94,20.95
Делчево-делчевско_41.5466667,22.3466667|42.3866667,23.1866667
Демир Капија-демиркаписко_40.9851233,21.8213823|41.8251233,22.6613823
Демир Хисар-демирхисарско_40.83596,20.7033616|41.67596,21.5433616
Кавадарци-кавадаречко_40.991192,21.5782338|41.831192,22.4182338
Кичево-кичевско_41.0977778,20.5455556|41.9377778,21.3855556
Кочани-кочанско_41.4966667,21.9966667|42.3366667,22.8366667
Кратово-кратовско_41.6581,21.7528|42.4981,22.5928
Крива Паланка-кривопаланечко_41.7973226,21.86609|42.6373226,22.70609
Крушево-крушевско_40.9505595,20.8302223|41.7905595,21.6702223
Куманово-кумановско_41.71337,21.30584|42.55337,22.14584
Македонски Брод-порече_41.0924006,20.7959425|41.9324006,21.6359425
Македонска Каменица-каменичко_41.5997222,22.1716667|42.4397222,23.0116667
Неготино-неготинско_41.07205,21.67354|41.91205,22.51354
Охрид-охридско_40.70162,20.399441|41.54162,21.239441
Пехчево-пехчевско_41.343,22.468|42.183,23.308
Прилеп-прилепско_40.93173,21.14214|41.77173,21.98214
Пробиштип-пробиштипско_41.5807459,21.7617702|42.4207459,22.6017702
Радовиш-радовишко_41.2161111,22.0466667|42.0561111,22.8866667
Ресен-ресенско_40.6689,20.5922|41.5089,21.4322
Свети Николе-светиниколско_41.4466667,21.53|42.2866667,22.37
Скопје-скопско_41.583812,21.032246|42.423812,21.872246
Струга-струшко_40.7575,20.2588889|41.5975,21.0988889
Струмица-струмичко_41.021441,22.22183|41.861441,23.06183
Тетово-тетовско_41.58864,20.554159|42.42864,21.394159
Штип-штипско_41.33,21.78|42.17,22.62
